geneNames	transcriptNames	id	fc	pval	qval
.	gene-PA4352	4469	1.74245736429244e-16	8.72812933039313e-12	7.67895568104171e-11
xqhA	gene-PA1868	1915	6822714269.1911	8.74966765707086e-12	7.67895568104171e-11
.	gene-PA1043	1068	1621482226.17723	8.75033379088563e-12	7.67895568104171e-11
hisE	gene-PA5067	5224	19561404434837472	8.75988170889741e-12	7.67895568104171e-11
.	gene-PA3685	3780	681832207.732996	8.78286332550715e-12	7.67895568104171e-11
.	gene-PA1952	1997	1.09694097582081e-11	8.79385453345094e-12	7.67895568104171e-11
alaS	gene-PA0903	922	12667069473.245	8.79585293489527e-12	7.67895568104171e-11
fhp	gene-PA2664	2720	5472493649.35707	8.79629702410512e-12	7.67895568104171e-11
.	gene-PA1360	1390	3.90416339735015e-11	8.80562289751197e-12	7.67895568104171e-11
.	gene-PA5459	5628	1.35066677444554e-12	8.81916761841239e-12	7.67895568104171e-11
.	gene-PA5343	5506	4.70637398521032e-07	8.82693917958477e-12	7.67895568104171e-11
.	gene-PA1361	1391	30559334.46636	8.83138007168327e-12	7.67895568104171e-11
.	gene-PA2530	2581	5974166343872.42	8.8475893278428e-12	7.67895568104171e-11
.	gene-PA0433	438	512377.123002638	8.8635765393974e-12	7.67895568104171e-11
.	gene-PA2933	2998	56336415.3638104	8.8751228588535e-12	7.67895568104171e-11
.	gene-PA2352	2402	52443960.9670757	8.87823148332245e-12	7.67895568104171e-11
.	gene-PA5185	5345	1.29578595133599e-16	8.91142715175874e-12	7.67895568104171e-11
.	gene-PA4098	4196	1.66219065648108e-09	8.91198226327106e-12	7.67895568104171e-11
.	MSTRG.3612.2	4419	175222391.759674	8.92896867554782e-12	7.67895568104171e-11
cyoC	gene-PA1319	1348	1606284.16213104	8.93196627771431e-12	7.67895568104171e-11
ambA	gene-PA2306	2356	109986808265829	8.95250540366987e-12	7.67895568104171e-11
.	gene-PA1343	1373	1241558613.12971	8.95683527346591e-12	7.67895568104171e-11
.	gene-PA3106	3181	95605732.1362107	8.96105412095949e-12	7.67895568104171e-11
dipZ	gene-PA4845	4999	23493761.6664779	8.97037999436634e-12	7.67895568104171e-11
.	gene-PA0790	805	97508.7260155407	9.03765950965862e-12	7.67895568104171e-11
.	gene-PA2148	2194	3.31717996651726e-12	9.0401020003128e-12	7.67895568104171e-11
lysC	gene-PA0904	923	254299556.213928	9.05564512265755e-12	7.67895568104171e-11
.	gene-PA3501	3594	1.85454101271214e-17	9.0569773902871e-12	7.67895568104171e-11
.	gene-PA1643	1679	4.06356965863584e-09	9.06430486224963e-12	7.67895568104171e-11
.	gene-PA5080	5237	467455838893311488	9.07285357953924e-12	7.67895568104171e-11
.	gene-PA3268	3347	4852580.60497386	9.10138631127211e-12	7.67895568104171e-11
.	gene-PA0083	87	3.87838116130367e-12	9.10138631127211e-12	7.67895568104171e-11
.	gene-PA1331	1361	30582449.9392766	9.11382080914791e-12	7.67895568104171e-11
.	gene-PA2006	2052	1.16109663081234e-13	9.13424891280101e-12	7.67895568104171e-11
.	gene-PA2289	2338	3016457.96118986	9.13935593871429e-12	7.67895568104171e-11
.	gene-PA1367	1397	129953.297791041	9.14146536246108e-12	7.67895568104171e-11
.	gene-PA3647	3742	2.9869706761545e+25	9.14601727686204e-12	7.67895568104171e-11
speE	gene-PA1687	1724	283018762.438691	9.15090225817039e-12	7.67895568104171e-11
.	gene-PA2546	2597	63897354.4685665	9.24083032316503e-12	7.67895568104171e-11
.	gene-PA0775	789	430520343046477	9.24615939368323e-12	7.67895568104171e-11
.	gene-PA5005	5162	4.05379177328791e-14	9.25282073183098e-12	7.67895568104171e-11
.	gene-PA4884	5037	2.40362918583765e-05	9.2746921254161e-12	7.67895568104171e-11
.	gene-PA4616	4742	532279449.524369	9.29789578663076e-12	7.67895568104171e-11
.	gene-PA4431	4551	59834431585.8261	9.29800680893322e-12	7.67895568104171e-11
.	gene-PA1682	1719	441036.829236318	9.35851396377529e-12	7.67895568104171e-11
phr	gene-PA4660	4794	50736578706.9762	9.36495325731812e-12	7.67895568104171e-11
.	gene-PA1538	1571	18475720366105684	9.36928312711416e-12	7.67895568104171e-11
purD	gene-PA4855	5009	1484142369.39569	9.3913765653042e-12	7.67895568104171e-11
.	gene-PA1265	1294	990.613875092855	9.40669764304403e-12	7.67895568104171e-11
.	gene-PA5330	5493	26047419035900.5	9.42046440854938e-12	7.67895568104171e-11
.	gene-PA2873	2938	2085392548.06351	9.42179667617893e-12	7.67895568104171e-11
.	gene-PA0405	410	5.84418674436128e-16	9.42623756827743e-12	7.67895568104171e-11
.	gene-PA1790	1828	7409674.1850833	9.43201072800548e-12	7.67895568104171e-11
.	gene-PA3302	3381	13256154042062368	9.44000433378278e-12	7.67895568104171e-11
.	gene-PA0135	139	1.10730345284839e-14	9.44166966831972e-12	7.67895568104171e-11
.	gene-PA2910	2975	6524729.36486956	9.44200273522711e-12	7.67895568104171e-11
.	gene-PA0084	88	3.50428824288903e-13	9.44733180574531e-12	7.67895568104171e-11
.	rna-PA5160.1	5318	2.65825699518855e-12	9.44799793956008e-12	7.67895568104171e-11
hflK	gene-PA4942	5097	2.41913119443131e-21	9.45754585757186e-12	7.67895568104171e-11
.	gene-PA3638	3733	42061316.3958299	9.48952028068106e-12	7.67895568104171e-11
.	gene-PA3131	3206	58301.6486464476	9.50883816130954e-12	7.67895568104171e-11
.	gene-PA3278	3357	670884354688.352	9.51227985268588e-12	7.67895568104171e-11
wbpH	gene-PA3149	3228	3.50874824090496e-15	9.54047951751136e-12	7.67895568104171e-11
.	gene-PA0066	68	334774783174522	9.54525347651725e-12	7.67895568104171e-11
.	gene-PA3889	3987	6.06938699086148e-07	9.56101864346692e-12	7.67895568104171e-11
.	gene-PA0492	498	61184512.3844025	9.56190682188662e-12	7.67895568104171e-11
gcvH2	gene-PA2446	2500	470146361461233728	9.57345314134272e-12	7.67895568104171e-11
endA	gene-PA2749	2805	36633296425.8917	9.57989243488555e-12	7.67895568104171e-11
.	gene-PA5252	5413	9037656741132.52	9.59243795506382e-12	7.67895568104171e-11
.	gene-PA0800	815	10217227.5338286	9.61186685799476e-12	7.67895568104171e-11
mreD	gene-PA4479	4600	90155988.1286155	9.62141477600653e-12	7.67895568104171e-11
.	gene-PA4672	4807	328402792.958775	9.6410657235424e-12	7.67895568104171e-11
.	gene-PA3473	3566	28403.4197324395	9.64739399478276e-12	7.67895568104171e-11
.	gene-PA2972	3039	748284.94582872	9.64950341852955e-12	7.67895568104171e-11
.	gene-PA5303	5465	13073200392.7945	9.65050261925171e-12	7.67895568104171e-11
.	gene-PA3714	3809	5.83797324828251e-05	9.65405533293051e-12	7.67895568104171e-11
.	gene-PA3776	3872	18851.5064520128	9.6757046819107e-12	7.67895568104171e-11
.	gene-PA5030	5187	3959336668.97177	9.67648183802794e-12	7.67895568104171e-11
.	gene-PA2752	2809	3.29146336193949e-09	9.69491154023672e-12	7.67895568104171e-11
.	gene-PA4596	4722	2273473.64067872	9.70745706041498e-12	7.67895568104171e-11
.	gene-PA0171	174	3107265.36984194	9.71089875179132e-12	7.67895568104171e-11
.	rna-PA4690.1	4830	6.5614392420398e-10	9.72155689282772e-12	7.67895568104171e-11
.	gene-PA4896	5049	1.05090181951657e-13	9.75886038645513e-12	7.67895568104171e-11
.	gene-PA3892	3990	18335.3794350589	9.77040670591123e-12	7.67895568104171e-11
cdsA	gene-PA3651	3746	658015169.132699	9.77151692893585e-12	7.67895568104171e-11
xcpR	gene-PA3103	3177	27509059790240488	9.78739311818799e-12	7.67895568104171e-11
.	gene-PA2410	2464	3.46118687748524e-08	9.78994663114463e-12	7.67895568104171e-11
catR	gene-PA2510	2561	3716120.57024954	9.84301529172171e-12	7.67895568104171e-11
.	gene-PA3913	4011	51194981456.546	9.85411752196796e-12	7.67895568104171e-11
.	gene-PA5440	5609	2141713247.81521	9.85789228025169e-12	7.67895568104171e-11
arnD	gene-PA3555	3647	26896585.0672171	9.85833636946154e-12	7.67895568104171e-11
.	rna-PA0574.1	582	1.71014504081876e-07	9.86788428747332e-12	7.67895568104171e-11
.	gene-PA3200	3278	65408226649.5716	9.88298332060822e-12	7.67895568104171e-11
.	gene-PA2018	2064	30819102.5003896	9.88897852494119e-12	7.67895568104171e-11
.	gene-PA4332	4449	1.824258904622e-08	9.90174608972438e-12	7.67895568104171e-11
.	gene-PA4348	4465	6181330378.44963	9.91051685161892e-12	7.67895568104171e-11
.	gene-PA5072	5229	84967.015142145	9.91517978832235e-12	7.67895568104171e-11
.	MSTRG.977.1	1176	1.67737870038603e+33	9.92528281784644e-12	7.67895568104171e-11
.	MSTRG.1911.2	2334	9.39913935708425e+20	9.92528281784644e-12	7.67895568104171e-11
.	MSTRG.2487.2	3044	9.27892897953098e+20	9.92528281784644e-12	7.67895568104171e-11
.	MSTRG.1911.3	2335	27859750995814092800	9.92528281784644e-12	7.67895568104171e-11
glpM	gene-PA3585	3678	273645.901193293	9.93205517829665e-12	7.67895568104171e-11
.	gene-PA1965	2010	1415804.79588775	9.95092896971528e-12	7.67895568104171e-11
.	gene-PA1866a	1913	13934589.1216939	9.9582564416778e-12	7.67895568104171e-11
.	gene-PA2293	2342	1.22669980791556e-07	9.96847049350436e-12	7.67895568104171e-11
amiC	gene-PA3364	3446	5.43097981377079e-12	9.97946170144814e-12	7.67895568104171e-11
.	gene-PA1170	1198	1.33100489614013e-07	1.00097707900204e-11	7.67895568104171e-11
.	gene-PA3019	3087	2609604.40033508	1.00115471468598e-11	7.67895568104171e-11
.	gene-PA0753	767	1.14437741649854e-13	1.00178754181002e-11	7.67895568104171e-11
.	gene-PA4045	4145	2601510.79655717	1.00570662908694e-11	7.67895568104171e-11
.	gene-PA2049	2094	741168.713117623	1.00857100449048e-11	7.67895568104171e-11
.	gene-PA5123	5279	1775407.12333734	1.00903729816082e-11	7.67895568104171e-11
.	gene-PA4030	4129	9116233.68852446	1.01434416421853e-11	7.67895568104171e-11
nqrD	gene-PA2996	3064	3519601.95547563	1.015176831487e-11	7.67895568104171e-11
.	MSTRG.3612.1	4420	3.3155750493259e-09	1.01565422738759e-11	7.67895568104171e-11
.	gene-PA4521	4643	8.48102645543404e-08	1.01694208609615e-11	7.67895568104171e-11
.	gene-PA0645	651	1.21642748967311e+22	1.01920694106639e-11	7.67895568104171e-11
ercS'	gene-PA1976	2021	2.85775976779247e-10	1.02011732394658e-11	7.67895568104171e-11
.	gene-PA2812	2873	1.1264019333914e-12	1.02069463991938e-11	7.67895568104171e-11
.	gene-PA2019	2065	848736.027000967	1.02312602834331e-11	7.67895568104171e-11
rfaD	gene-PA3337	3419	12992229992.5206	1.02613473274005e-11	7.67895568104171e-11
.	gene-PA2142	2187	63227078.4311095	1.02675645763384e-11	7.67895568104171e-11
pscC	gene-PA1716	1753	141310.01651904	1.02731156914615e-11	7.67895568104171e-11
aspP	gene-PA4971	5126	2.34739777773348e-08	1.02799990742142e-11	7.67895568104171e-11
.	gene-PA5144	5300	3.76637437298011e-05	1.02806652080289e-11	7.67895568104171e-11
.	gene-PA3292	3371	3.48285440674875e-08	1.02906572152506e-11	7.67895568104171e-11
.	gene-PA2063	2108	28417.8026548181	1.02946540181392e-11	7.67895568104171e-11
typA	gene-PA5117	5273	97291288.1383736	1.0302758646219e-11	7.67895568104171e-11
.	gene-PA4631	4764	4031333.65739019	1.03115294081135e-11	7.67895568104171e-11
.	gene-PA2499	2550	60866.2642665671	1.03146380325825e-11	7.67895568104171e-11
.	gene-PA2956	3022	249423990.487557	1.03203001700081e-11	7.67895568104171e-11
nqrC	gene-PA2997	3065	257450849.970635	1.03260733297361e-11	7.67895568104171e-11
.	gene-PA0056	58	270800.465642028	1.03269615081558e-11	7.67895568104171e-11
atpH	gene-PA5557	5724	82751737927.5914	1.03271835527607e-11	7.67895568104171e-11
atpF	gene-PA5558	5725	822312793085.461	1.03295150211125e-11	7.67895568104171e-11
.	gene-PA3409	3494	253583.592675757	1.0336842493075e-11	7.67895568104171e-11
.	gene-PA5027	5184	2432046261.23658	1.03453912103646e-11	7.67895568104171e-11
azoR3	gene-PA3223	3300	9.61319624994086e-09	1.03497210801606e-11	7.67895568104171e-11
atpE	gene-PA5559	5726	726922264505.881	1.03581587751478e-11	7.67895568104171e-11
secD	gene-PA3821	3917	216845462.57849	1.03703712284187e-11	7.67895568104171e-11
.	gene-PA0678	690	6.94715176877402e-09	1.03749231428196e-11	7.67895568104171e-11
.	gene-PA0087	91	4.28548312713186e-06	1.03810293694551e-11	7.67895568104171e-11
glyA3	gene-PA4602	4728	281887626.717619	1.03932418227259e-11	7.67895568104171e-11
.	gene-PA2763	2822	7.60472421822481e-11	1.04103392573052e-11	7.67895568104171e-11
.	gene-PA3411	3496	1.39055089874612e-09	1.04224406882736e-11	7.67895568104171e-11
.	MSTRG.3877.3	4753	7.52630902529988e-17	1.04372066545011e-11	7.67895568104171e-11
.	gene-PA2286	2333	1.25926627160251e-10	1.0443423903439e-11	7.67895568104171e-11
.	gene-PA3489	3582	27486.3310358094	1.04616315610429e-11	7.67895568104171e-11
arnE	gene-PA3557	3649	77072.2449273137	1.04711794790546e-11	7.67895568104171e-11
.	gene-PA4355	4472	98718384.2595888	1.04788400179245e-11	7.67895568104171e-11
.	gene-PA1606	1642	1.60934378995218e-09	1.04791730848319e-11	7.67895568104171e-11
.	gene-PA0751	765	4.58721659583564e-14	1.05089270618919e-11	7.67895568104171e-11
.	gene-PA4571	4696	34788217.2749314	1.05127018201756e-11	7.67895568104171e-11
.	gene-PA3441	3534	6.40295876850565e-24	1.05480069123587e-11	7.67895568104171e-11
.	gene-PA4933	5086	2669978411173.05	1.05582209641852e-11	7.67895568104171e-11
.	gene-PA3890	3988	65895769707.9437	1.0567768882197e-11	7.67895568104171e-11
.	gene-PA5472	5641	37452810.9026196	1.06002984168185e-11	7.67895568104171e-11
.	gene-PA3613	3707	74595332626701152	1.06084030448983e-11	7.67895568104171e-11
.	gene-PA2896	2961	2.77248646404638e-08	1.06128439369968e-11	7.67895568104171e-11
secF	gene-PA3820	3916	3875047365.60555	1.06339381744647e-11	7.67895568104171e-11
.	gene-PA2031	2077	14419247311248.6	1.06394892895878e-11	7.67895568104171e-11
.	gene-PA3447	3540	4.81822768503357e-14	1.0656808768772e-11	7.67895568104171e-11
.	gene-PA3507	3599	1.05647229324942e-15	1.06592512594261e-11	7.67895568104171e-11
.	gene-PA3488	3581	1.87732413278863e-08	1.06663566867837e-11	7.67895568104171e-11
.	gene-PA3911	4009	11342057325767.1	1.0671463712697e-11	7.67895568104171e-11
bglX	gene-PA1726	1763	4768898.41771556	1.06771258501226e-11	7.67895568104171e-11
mucR	gene-PA1727	1764	45338.2894810947	1.0692113860955e-11	7.67895568104171e-11
.	gene-PA2947	3013	4526.77343794424	1.0700995645152e-11	7.67895568104171e-11
cobC	gene-PA1276	1305	373991.268572501	1.07042152919234e-11	7.67895568104171e-11
fimT	gene-PA4549	4674	3.63298568353856e-07	1.0706990849485e-11	7.67895568104171e-11
atuA	gene-PA2886	2951	451143878.659637	1.07139852545401e-11	7.67895568104171e-11
.	gene-PA3726	3821	448054.593213538	1.07169828567066e-11	7.67895568104171e-11
pilX	gene-PA4553	4678	1.73496277677894e-12	1.07458486553469e-11	7.67895568104171e-11
murD	gene-PA4414	4533	2.75583155972233e-12	1.07518438596799e-11	7.67895568104171e-11
xdhA	gene-PA1524	1556	55881651.8120409	1.07547304395439e-11	7.67895568104171e-11
.	gene-PA3308	3390	1911885.7931143	1.07656106251852e-11	7.67895568104171e-11
phoP	gene-PA1179	1207	282611909.36213	1.07749364985921e-11	7.67895568104171e-11
cobN	gene-PA2944	3010	19609.3837008514	1.07842623719989e-11	7.67895568104171e-11
.	gene-PA2502	2553	28195.7203640698	1.07895914425171e-11	7.67895568104171e-11
pqqE	gene-PA1989	2034	9.38668661682008e-11	1.08093534123554e-11	7.67895568104171e-11
.	gene-PA3502	3595	3.43261064835e-14	1.08100195461702e-11	7.67895568104171e-11
gidB	gene-PA5564	5731	1968481.70601074	1.08133502152441e-11	7.67895568104171e-11
.	gene-PA2695	2750	2412757.51164177	1.08517639318961e-11	7.67895568104171e-11
.	gene-PA1137	1165	1.60685125667738e-08	1.08559827793897e-11	7.67895568104171e-11
.	gene-PA1658	1695	2.68027320536457e-14	1.08808517751413e-11	7.67895568104171e-11
.	gene-PA1993	2038	4.82622678918351e-05	1.09202646925155e-11	7.67895568104171e-11
ccmG	gene-PA1481	1512	2941062598.67649	1.09243725177066e-11	7.67895568104171e-11
thiI	gene-PA5118	5274	324766.218965394	1.09252606961263e-11	7.67895568104171e-11
pntB	gene-PA0196	200	223749122155416	1.09361408817676e-11	7.67895568104171e-11
.	gene-PA1394	1424	5.19646865272947e-06	1.09474651566188e-11	7.67895568104171e-11
.	gene-PA3510	3602	3.23288767160853e-22	1.09477982235262e-11	7.67895568104171e-11
.	gene-PA2453	2505	5109639036.52615	1.0963341345871e-11	7.67895568104171e-11
.	gene-PA2729	2782	2.10437282567398e-08	1.09744435761172e-11	7.67895568104171e-11
.	gene-PA4453	4574	1071449.01749684	1.09824371818945e-11	7.67895568104171e-11
aprE	gene-PA1247	1276	3637214818454609	1.10277342812992e-11	7.67895568104171e-11
.	gene-PA5207	5367	60586.2319164887	1.10331743741199e-11	7.67895568104171e-11
.	gene-PA3696	3791	850658118.898268	1.10340625525396e-11	7.67895568104171e-11
.	gene-PA3464	3557	5168641.63346749	1.10453868273908e-11	7.67895568104171e-11
tsf	gene-PA3655	3750	404127186482.234	1.1046163983508e-11	7.67895568104171e-11
.	gene-PA3506	3598	4.20421117038105e-16	1.10487174964646e-11	7.67895568104171e-11
.	gene-PA4838	4992	20157.3947579179	1.10547127007976e-11	7.67895568104171e-11
.	MSTRG.3931.1	4820	4.1492670650536e-15	1.1060818927433e-11	7.67895568104171e-11
ccoN2	gene-PA1557	1594	174460397107.071	1.10683684440005e-11	7.67895568104171e-11
moaA1	gene-PA3870	3967	36009.9070836157	1.10744746706359e-11	7.67895568104171e-11
.	gene-PA4980	5137	8.5343634468269e-10	1.10749187598458e-11	7.67895568104171e-11
ribB	gene-PA4054	4154	10979355.0125868	1.10954578858014e-11	7.67895568104171e-11
.	rna-PA4451.1	4572	4895377.68744812	1.11082254505845e-11	7.67895568104171e-11
.	gene-PA4675	4811	1485480.87615152	1.11159970117569e-11	7.67895568104171e-11
recQ	gene-PA3344	3426	7694071.69893117	1.11241016398367e-11	7.67895568104171e-11
.	gene-PA2116	2161	28000763903.35	1.11266551527933e-11	7.67895568104171e-11
.	gene-PA3001	3069	562364400.258406	1.11388676060642e-11	7.67895568104171e-11
.	gene-PA1892	1939	385908.428109405	1.11636255795133e-11	7.67895568104171e-11
.	gene-PA4889	5042	1081237905.47959	1.11717302075931e-11	7.67895568104171e-11
cobB	gene-PA1273	1302	29153.7771344103	1.11737286090374e-11	7.67895568104171e-11
fabD	gene-PA2968	3035	33347615.9936193	1.11751718989694e-11	7.67895568104171e-11
gyrB	gene-PA0004	4	369246964518302	1.11894937759871e-11	7.67895568104171e-11
.	gene-PA2945	3011	88957.3311977984	1.11947118242028e-11	7.67895568104171e-11
pyrH	gene-PA3654	3749	362726810.569808	1.1198597604789e-11	7.67895568104171e-11
phzE2	gene-PA1903	1950	1865257114213.54	1.12181375300224e-11	7.67895568104171e-11
.	gene-PA5139	5295	686241426.525616	1.12202469537692e-11	7.67895568104171e-11
ccoP1	gene-PA1552	1585	20421962.4986833	1.12245768235653e-11	7.67895568104171e-11
ptrA	gene-PA2808	2869	275733.344743248	1.12392317674903e-11	7.67895568104171e-11
.	gene-PA0914	936	62683.6529211748	1.12598819157483e-11	7.67895568104171e-11
.	gene-PA2983	3051	201864.155560641	1.12793108186793e-11	7.67895568104171e-11
trmD	gene-PA3743	3839	939987696.108161	1.13107301302762e-11	7.67895568104171e-11
.	gene-PA3817	3913	4.34605487298103e-09	1.13175024907264e-11	7.67895568104171e-11
popB	gene-PA1708	1745	934575.297360893	1.13188347583559e-11	7.67895568104171e-11
.	gene-PA2042	2088	3116714.92084764	1.13268283641332e-11	7.67895568104171e-11
ccmE	gene-PA1479	1510	555778866.908322	1.13302700555096e-11	7.67895568104171e-11
.	gene-PA5568	5735	7787139.29372316	1.13362652598425e-11	7.67895568104171e-11
gltP	gene-PA5479	5648	713593.283851666	1.13379305943795e-11	7.67895568104171e-11
.	gene-PA3508	3600	6.54886317968951e-19	1.13609122109892e-11	7.67895568104171e-11
braE	gene-PA1072	1098	1.26733464340366e-09	1.13642428800631e-11	7.67895568104171e-11
.	gene-PA3442	3535	7.85396064949169e-22	1.13707931959084e-11	7.67895568104171e-11
narG	gene-PA3875	3972	1145781.38715398	1.13729026196552e-11	7.67895568104171e-11
.	gene-PA2294	2343	6.14813859777684e-10	1.13963283254748e-11	7.67895568104171e-11
hemA	gene-PA4666	4800	588820.952011723	1.13966613923822e-11	7.67895568104171e-11
.	gene-PA2950	3016	487440567.301815	1.13972165038945e-11	7.67895568104171e-11
.	gene-PA2769	2829	26090219.2261846	1.13973275261969e-11	7.67895568104171e-11
.	gene-PA0246	250	9226.30209273425	1.14086518010481e-11	7.67895568104171e-11
.	gene-PA3985	4085	857863.183450799	1.14293019493061e-11	7.67895568104171e-11
rpsF	gene-PA4935	5088	1347709027322.92	1.14454001831632e-11	7.67895568104171e-11
.	gene-PA1193	1221	118012.909920183	1.14687148666803e-11	7.67895568104171e-11
micA	gene-PA0382	387	143688.273113243	1.14809273199512e-11	7.67895568104171e-11
tktA	gene-PA0548	555	2336162.15402999	1.14908083048704e-11	7.67895568104171e-11
purH	gene-PA4854	5008	2164986.95889712	1.15116804977333e-11	7.67895568104171e-11
.	gene-PA4673	4808	1699406.84831465	1.15278897538929e-11	7.67895568104171e-11
.	gene-PA2265	2312	1.21080476648214e-13	1.15389919841391e-11	7.67895568104171e-11
.	gene-PA3513	3605	2.51064297659936e-10	1.15532028388543e-11	7.67895568104171e-11
.	gene-PA1228	1257	119367940.960184	1.15534248834592e-11	7.67895568104171e-11
.	gene-PA0236	240	3355731.62487645	1.15597531546996e-11	7.67895568104171e-11
.	gene-PA3661	3756	5.43219344161276e-11	1.1560086221607e-11	7.67895568104171e-11
.	gene-PA1926	1973	20357.6967216467	1.15623066676562e-11	7.67895568104171e-11
.	gene-PA3313	3395	72550.6216054853	1.15756293439517e-11	7.67895568104171e-11
folB	gene-PA0582	590	509007.9948447	1.16227028001958e-11	7.67895568104171e-11
rpsT	gene-PA4563	4688	601420393.922793	1.16286980045288e-11	7.67895568104171e-11
xthA	gene-PA2545	2596	192541.172762553	1.16349152534667e-11	7.67895568104171e-11
.	gene-PA3315	3397	401.152700931921	1.16497922419967e-11	7.67895568104171e-11
dadX	gene-PA5302	5464	651734.278008629	1.16536780225829e-11	7.67895568104171e-11
.	gene-PA1007	1030	8391.53679268429	1.16552323348174e-11	7.67895568104171e-11
.	gene-PA4313a	4430	1.4058591207725e-12	1.16573417585641e-11	7.67895568104171e-11
.	gene-PA0541	548	1150530546.04077	1.16617826506626e-11	7.67895568104171e-11
rnhB	gene-PA3642	3737	29209.3275482137	1.16697762564399e-11	7.67895568104171e-11
.	gene-PA0880	897	1.0576016075937e-06	1.16775478176123e-11	7.67895568104171e-11
hemN	gene-PA1546	1579	24868102.4241686	1.16786580406369e-11	7.67895568104171e-11
.	gene-PA0080	83	5.15128312250764e-09	1.1690204360093e-11	7.67895568104171e-11
.	gene-PA2560	2612	8.73467384986675e-13	1.1693312984562e-11	7.67895568104171e-11
.	gene-PA5202	5362	69359.6321658063	1.1700751478827e-11	7.67895568104171e-11
.	gene-PA4685	4823	48110943332321.8	1.170674668316e-11	7.67895568104171e-11
trmA	gene-PA4720	4866	2489788066367.96	1.17128529097954e-11	7.67895568104171e-11
.	gene-PA3132	3207	6338322.71941383	1.17140741551225e-11	7.67895568104171e-11
.	gene-PA4106	4204	2.40344473986556e-09	1.17155174450545e-11	7.67895568104171e-11
estX	gene-PA1771	1808	246924922.250765	1.17182930026161e-11	7.67895568104171e-11
nasA	gene-PA1783	1821	2.02223323240828e-07	1.17212906047826e-11	7.67895568104171e-11
